ID	Sentence	Score
73	Adoro gli abeti, ma non i cespugli.	4.33
106	Adoro il vitello, ma non i granchi.	3.33
203	Adoro gli animali, un tipo interessante di abete.	1.25
466	Amo gli abeti più dei cespugli.	5.18
137	Amo i criceti, un tipo interessante di pappagallo.	1.36
490	Amo i prodotti del mare più del tacchino.	6.36
32	Amo i cani, ma non i merli.	4.75
418	Amo i merli più degli uccelli.	1.9
410	Amo le anatre più dei criceti.	6.0
326	Amo i cespugli, ed anche le betulle.	5.45
358	Amo il tacchino, ed anche il salmone.	6.67
240	Adoro i granchi, un tipo interessante di manzo.	1.11
297	Amo i passeri, ed anche gli uccelli.	4.73
261	Adoro il manzo, un tipo interessante di caviale.	1.45
313	Amo le querce, ed anche i cespugli.	6.11
437	Amo l' erba più delle querce.	5.58
422	Amo i merli più dei maiali.	6.0
334	Amo gli animali, ed anche gli abeti.	4.45
359	Amo i prodotti del mare, ed anche il tacchino.	4.08
40	Amo i maiali, ma non i passeri.	4.58
318	Amo gli alberi, ed anche gli arbusti.	5.55
0	Amo i pappagalli, ma non i gatti.	5.0
452	Amo le betulle più degli alberi.	2.4
339	Amo i pini, ed anche l' erba.	6.44
165	Amo i gatti, un tipo interessante di passero.	3.68
420	Amo i merli più dei criceti.	6.36
425	Amo i cani più dei merli.	6.33
362	Amo i prodotti del mare, ed anche il manzo.	5.25
159	Amo i criceti, un tipo interessante di merlo.	3.68
238	Adoro i granchi, un tipo interessante di tacchino.	1.27
342	Amo gli alberi, ed anche i pini.	2.7
277	Amo le anatre, ed anche gli uccelli.	4.33
211	Adoro gli alberi, un tipo interessante di pino.	2.27
123	Adoro il caviale, ma non i prodotti del mare.	4.17
49	Adoro gli animali, ma non le querce.	3.33
158	Amo i merli, un tipo interessante di criceto.	1.0
156	Amo i merli, un tipo interessante di uccello.	6.4
282	Amo i maiali, ed anche le anatre.	6.42
290	Amo i criceti, ed anche i merli.	6.08
150	Amo le anatre, un tipo interessante di maiale.	1.33
179	Adoro le querce, un tipo interessante di animale.	1.08
149	Amo i criceti, un tipo interessante di anatra.	1.0
14	Amo i gatti, ma non le anatre.	4.67
312	Amo gli alberi, ed anche gli animali.	6.78
522	Amo il caviale più del manzo.	6.18
216	Adoro i pini, un tipo interessante di arbusto.	4.09
157	Amo gli uccelli, un tipo interessante di merlo.	1.33
317	Amo gli arbusti, ed anche le querce.	5.64
144	Amo le anatre, un tipo interessante di gatto.	1.17
281	Amo le anatre, ed anche i maiali.	5.18
10	Amo gli uccelli, ma non i maiali.	4.67
477	Amo i cespugli più dei pini.	6.15
300	Amo i criceti, ed anche i passeri.	4.31
463	Amo gli alberi più degli abeti.	1.58
39	Amo i passeri, ma non i maiali.	4.33
451	Amo l' erba più delle betulle.	5.56
462	Amo gli abeti più degli alberi.	1.73
464	Amo gli abeti più degli animali.	5.75
180	Adoro gli animali, un tipo interessante di quercia.	3.95
177	Adoro gli alberi, un tipo interessante di quercia.	1.44
516	Amo il caviale più dei prodotti del mare.	2.92
184	Adoro gli alberi, un tipo interessante di cespuglio.	1.64
232	Adoro i granchi, un tipo interessante di pollo.	3.95
58	Adoro l' erba, ma non le betulle.	3.42
498	Amo i granchi più del vitello.	3.55
471	Amo l' erba più dei pini.	5.0
365	Amo i granchi, ed anche i prodotti del mare.	4.91
407	Amo i gatti più delle anatre.	6.33
8	Amo i pappagalli, ma non i maiali.	4.42
195	Adoro i cespugli, un tipo interessante di betulla.	1.62
182	Adoro le querce, un tipo interessante di cespuglio.	1.33
169	Amo i criceti, un tipo interessante di passero.	1.08
275	Amo le anatre, ed anche i gatti.	5.14
285	Amo i merli, ed anche i gatti.	6.0
205	Adoro i cespugli, un tipo interessante di abete.	1.45
289	Amo i merli, ed anche i criceti.	5.62
514	Amo il caviale più del pollo.	5.75
51	Adoro le querce, ma non i cespugli.	5.09
465	Amo gli animali più degli abeti.	4.55
406	Amo le anatre più dei gatti.	5.75
20	Amo i maiali, ma non le anatre.	4.5
428	Amo i passeri più degli uccelli.	1.69
